epoch,val_loss,val_acc,f1_macro,auroc,brier
1,58002.726096678525,62.47934671567613,0.3925750340831336,0.8282506387065556,0.5602844874174322
2,59073.397285290994,61.32218795063578,0.3800770927977413,0.8206229513795538,0.5713443291738192
3,61016.065182424616,60.430606607080094,0.3895501488864698,0.824251943922224,0.5862460290752707
4,60579.21354505792,59.83490511807273,0.3930033467255461,0.8215804696109813,0.5906783245291077
5,61959.647387862206,58.813737759952176,0.38204014805164577,0.8191237360230285,0.6026116875614768
6,61975.78879768611,58.61517059694972,0.38565272946408136,0.8176992068114386,0.6042842221691941
7,61247.12199929822,59.88089255036445,0.38679679158835706,0.815905253327779,0.592968851225662
8,60866.13082415145,60.05909385049486,0.3902680039901572,0.8215563014568679,0.5911457925291699
9,61813.25027803704,58.92525728325959,0.38314127821173694,0.8163294653849367,0.6022079756947194
10,62470.440646801144,60.12676107229553,0.38247905434726304,0.8194520245300088,0.5951256098274079
