epoch,val_loss,val_acc,f1_macro,auroc,brier
1,45498.85864885454,65.7140591787246,0.3748489911703232,0.8359934502896534,0.5162080642544641
2,45469.770012837136,66.52822544004533,0.3913191575758232,0.8374623869662491,0.5122597637501621
3,44957.744428831385,67.13214633789994,0.3954500011614986,0.8383970454520189,0.5052976612563828
4,45133.31153116189,67.14711295699414,0.4027373335223944,0.837996464599124,0.5054215892205252
5,44963.91229422111,67.76377329848249,0.39924735481193546,0.8385018967142128,0.5004310170929194
6,45412.145044195466,67.31887272850375,0.40479385086298325,0.8362472757355803,0.5073023606135323
7,45737.37889445922,67.17018649476435,0.40401662620732137,0.8339025668980741,0.510480922796279
8,45414.4355862136,66.62114320025515,0.40744744249175574,0.8359862831909577,0.5104035851157225
9,45746.8999771676,66.21392643906715,0.4079087752555566,0.8372138190785837,0.5146151730781342
10,47061.31003845576,64.257753688648,0.404558565444609,0.8343575660759128,0.5338530867793123
