epoch,val_loss,val_acc,f1_macro,auroc,brier
1,53348.32025140338,63.68903182551147,0.3769860652506702,0.8398544461301247,0.543204870034087
2,52435.3198495144,64.31666787653474,0.40421432591698286,0.8412608442441062,0.5353832699373698
3,54201.66671239305,64.01145486770704,0.4057577927488243,0.8381620765574813,0.5416184275768972
4,53424.79857163783,63.978176698919846,0.40876455602623063,0.8397553132650923,0.539759464521318
5,55178.32883432787,63.92108180149083,0.3922826136090519,0.8308556444388766,0.5459851333220358
6,54852.65394743811,63.597598425485856,0.4079085583806893,0.8326179893353578,0.5476999796591935
7,55940.95092451386,63.54702865919158,0.3981512681349373,0.829598864028572,0.5512797644720433
8,55312.86268446129,63.62785872112324,0.397031763205368,0.8307064368667281,0.5493086599367722
9,56353.76437102631,63.309024501051766,0.40031623632194685,0.8296118157974653,0.5521102320463035
10,55927.71880693827,63.43349137744703,0.395961815795708,0.8288874662868955,0.5515950989493447
