epoch,val_loss,val_acc,f1_macro,auroc,brier
1,55864.41563013103,62.65533399431447,0.36896955750700355,0.8273583726382364,0.5577605931796947
2,57100.0477506828,61.804396210192,0.3646453388618092,0.8220208634616983,0.5651743460436427
3,57469.003774478566,61.35481933410951,0.37024049489884453,0.8250353030362612,0.5711485066515799
4,58510.865932742134,59.887934900215164,0.36850262708701814,0.820759140111022,0.5829000828234865
5,60018.73404298024,59.91813159009845,0.3639394457963542,0.8194355405786486,0.5889061293822735
6,60620.58906259015,59.42478185565653,0.3678362087721832,0.8173246532784983,0.5935605639983528
7,59149.426497445675,60.36927178255092,0.3661770166760214,0.8208226900372846,0.5841878527173613
8,60681.471418586094,59.731109584363544,0.35793068823718155,0.8150141981393617,0.5939730998171455
9,60236.84416200989,59.628342102989635,0.3621442219878284,0.8127591225307923,0.5923310261822092
10,59747.61423253268,60.130331217370916,0.35957636618276045,0.8146260888791506,0.5884820202267187
